Vegetable,Best_Distribution,Parameter_1,Parameter_2,KS_Statistic,P_Value
Potato,norm,43.7,14.61,0.1727,0.8792
Ivy_gourd,gamma,246.9155,0.0483,0.2545,0.4618
Cucumber,triang,0.99999995,,0.3000,0.2705
Pumpkin,gamma,83.4848,0.3938,0.1875,0.8117
Bitter_gourd,gamma,874304.6438,0.00435,0.1456,0.9638
Brinjal,gamma,7.5139,0.8982,0.1369,0.9791
Beans,gamma,2.1738,2.4780,0.1480,0.9587
Capsicum,gamma,310.7740,0.0644,0.2367,0.5531
Madras_Cucumber,gamma,8.0381,1.3582,0.1531,0.9461
Carrot,gamma,298.0020,0.0485,0.2596,0.4371
Sweet_Potato,uniform,43.0,7.0,0.2000,0.7487
Ridge_gourd,norm,15.6,1.64,0.2226,0.6284
Plantain,norm,28.4,4.04,0.1430,0.9689
Beetroot,gamma,3.9105,1.6903,0.1931,0.7841
Cabbage,gamma,320.2117,0.2371,0.1282,0.9891
Curry_leaves,beta,0.6605,1.0752,0.1697,0.8912
Coriander,norm,30.0,7.60,0.2416,0.5271
Pudina,uniform,10.0,3.0,0.2333,0.5708
Tomato,norm,33.5,7.05,0.2253,0.6138
Green_Chillies,norm,9.4,1.04,0.2526,0.4713
Onion,norm,49.0,19.40,0.1898,0.8004
